cluster,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
147,5.871399505051536,5.3215538575364825,5.378881135830187,4.992974410654148,0.0,0.7286425910807226,0.0,0.5356892284927033,0.46431077150729666,0.27135740891927745,628.5724308602919,99.80704663741199,334.28621543014594,30.771813450352074,4.387842509439738,30.928621543014593,1.6482330786304724,366.23579255536276,6.814528268190632,0.55,0.0,0.0,59.0069203490152,2.907824618583529,2.52593973237065,0.6389770990662312
148,4.2641101841223135,4.990700016076701,5.950043801534614,7.404079706506389,0.0,0.6194913184860869,0.0,0.11328415565727519,0.38050868151391315,0.8867158443427248,615.1862148848643,110.2678653588061,330.19399749565264,31.574147833186487,3.0634713457332516,30.0,1.3951271703784784,490.44086507686325,5.900836788784957,0.5613284155657275,0.0,0.0,54.27622431652604,2.712897112310893,2.67303019653585,0.6366860757653532
149,6.500768079042653,4.374367655070433,5.174457712106556,6.724819237368852,0.0,0.33761289557460467,0.2751807626311479,0.6127936582057525,0.38720634179424746,0.38720634179424746,611.282411267877,108.41935262703417,329.68783933528266,28.585580126672816,2.7425398122514633,30.0,1.396801585448562,497.5203276890179,5.092823834724955,0.6112793658205753,0.0,0.0,58.451174632823005,2.578313626407836,3.107350951899166,0.6285773499142049
150,5.780143910041659,4.031770693407306,6.0,6.79602925674531,0.0,0.0,0.0,0.4920573266481735,0.5079426733518264,1.0,574.9386413243435,100.66680800881284,328.9801462837265,30.287365846342745,2.9778844857034037,30.40794148650938,1.528971039965301,467.7166446021866,5.583755471613426,0.55,0.0,0.0,54.067509756384396,1.341841698954176,2.2519871518910177,0.6415216302036297
151,6.267053345598537,5.160687414287075,3.766951087708267,6.249606479613406,0.0,0.0,0.4081084930997223,0.0,0.5918915069002777,1.0,636.5198067973131,110.34386055413383,328.1730968659982,38.88835579821309,3.678617408532156,31.546978239800147,1.9367445599500368,217.4624573603305,7.355564493407407,0.568095864703638,0.0,0.0,60.46806053939321,2.5587982802190665,2.2034657779825038,0.656143365290774
152,2.404915367439852,3.4681266116603533,4.923697038491682,4.1674452491730225,0.0,0.0,0.0,0.0,0.636107393292168,1.0,606.6457396919516,107.54735345933824,327.3092425962292,31.00627809241451,3.0760036315638972,30.126422488441,1.8071166439757484,312.7287343098093,6.422555467828001,0.6220097784108076,0.0,0.0,57.88267427775966,2.913605478710046,2.867031652915088,0.6286389260670783
153,2.879442809296661,2.715304983253832,4.036780675936264,5.194118542575866,0.26429513853648634,0.0,0.0,0.0,0.7357048614635137,0.7357048614635137,606.3554754896985,108.50976352379986,327.0741652288643,31.6219476301634,2.8385725159849793,29.786085456206234,1.7749606718765856,268.61704556987723,6.921331066680199,0.6745904800568354,0.0,0.0,56.68592814371258,2.311995331371156,2.018088399472242,0.6844664061707094
154,4.62078040244351,6.409896280863571,5.36460631576037,6.240009886126714,0.09535913453483641,0.0,0.0,0.0,1.0,0.9046408654651635,630.9379739113948,107.80173511365315,329.3853300983935,37.82473665145088,3.388406559406587,31.388845531415544,1.897211382853886,247.95841528392262,7.99395458129424,0.6116839881518986,0.0,0.0,59.37509224469167,3.039454069090349,2.0984238510872335,0.6664530703447463
155,3.657911552196954,4.890451114462992,4.046313578676724,4.865993155791483,0.0,0.0,0.0,0.0,1.0,1.0,625.484331525461,113.33467188828166,325.1388059035465,35.68863216017772,2.7402805943171664,30.043010356638945,1.7785840938318243,273.7912533386188,7.61314177993811,0.7004429170528056,0.0,0.0,57.48032830046173,2.870460980763331,2.5218827112234043,0.6331739368487908
156,4.876765939860345,7.165126909384409,5.264764012057079,6.226986621312954,0.0,0.04606671818604834,0.0,0.0,0.9539332818139515,1.0,627.0335628340961,114.75929863060013,329.33025768381134,38.18211840476143,2.8163177302960904,31.09289642920916,1.8117074277557765,276.46457915726813,7.56283238375845,0.6846190003277188,0.0,0.0,58.88142483995284,2.954403681878007,2.5221224082779634,0.629366400751154
157,3.704104778729011,5.4609102267517455,6.7160671108817995,6.017893999761526,0.0,0.0,0.0,0.0,0.5977221101507134,1.0,619.711625892754,108.00115990236695,331.1236383465469,34.09730901712637,3.2659319953728514,31.336633558411922,1.8841583896029805,312.0731885086828,6.594502554336439,0.5564327061525676,0.0,0.0,59.83235045469586,3.055423936063962,2.733313584102539,0.6434043467622249
158,3.7693936636019005,6.892316346932487,6.466583777043636,4.707932321936607,0.0,0.3820112796772321,0.0,0.0,0.6179887203227679,1.0,636.7426348867374,113.88781952516428,331.91005639838613,34.10805271493375,3.3080186752470566,30.594877564621655,1.6032165712361066,353.3323957489806,6.873141253950395,0.5819299427416639,0.0,0.0,57.78463269386498,3.1576447761621864,2.338459453358463,0.625
159,6.537176900782275,5.269953265059051,4.576824745041783,6.764332728725047,0.3131366760897228,0.14742922974297024,0.42403366482340327,0.14432457265259196,0.48553792834565596,0.48553792834565596,617.8635195517941,113.071404692966,335.1491921755005,32.50601864666904,2.4185950874133204,30.626273352179442,1.656236989153706,366.10240965652866,6.5659310993927456,0.5998205425590598,0.0,0.0,60.5006458500338,2.759561460069832,3.0791726970821576,0.6366382667802352
160,4.814746290474388,5.578206709154094,5.640737051837812,6.524215549545675,0.004855121517604275,0.10087114807107879,0.10831091462456206,0.0,0.677406907218445,0.9951448784823957,618.1596360665344,113.7011518919084,330.8235951275936,34.57196132948748,2.1786777385351384,30.69027592912222,1.697351195262785,367.95266876703585,6.729082840689008,0.5624571557231098,0.0,0.0,57.61076268471208,2.5784343739515063,2.9937015232368545,0.6392489166152399
161,6.455414990097918,5.514861669967361,4.544585009902082,5.518684984806965,0.15307943497917417,0.0,0.15307943497917417,0.33205889505346503,0.5148616699673608,0.5148616699673608,615.1900469503995,113.51422224950139,335.6167804752223,33.45923830493752,2.2775601486438926,30.97027666006528,1.7925691650163196,391.9477112554317,7.408598612543052,0.6227707495048959,0.0,0.0,61.97473939537085,3.0273251635649983,3.2574308349836802,0.5791712310514388
162,6.548299668423329,6.4774447772669745,4.451700331576671,6.583254577199698,0.0,0.41674542280030114,0.0,0.41674542280030114,0.5832545771996989,0.5832545771996989,642.0052059139182,112.49858238959459,332.0837271140015,33.83892421791155,3.151228755866665,30.59612680004485,1.5948453443111372,384.3853017027343,5.988486120232585,0.6394190200067277,0.0,0.0,59.038616668535454,2.8286964391548803,2.3816956062086527,0.6329181630332057
163,5.031245937966166,5.968754062033833,4.3190040254110516,6.343224579147504,0.0,0.3283877104262479,0.3361991949177896,0.0,0.6638008050822104,0.3354130946559625,628.6631632592006,114.91014316928391,338.3268650280293,29.70831141124598,3.1235584551169766,30.320576225934705,1.8822934526720188,242.218948523844,7.328387710426248,0.665716847098341,0.0,0.0,59.33855749570327,3.03034305745547,2.775984740163946,0.6337411790678625
164,6.407180580231788,4.6820861801766345,5.139380299006519,6.174678522748653,0.3159863207892692,0.0,0.5446333802042115,0.2286470594149423,0.4553666197957885,0.4553666197957885,636.4124733029894,102.03722572277624,331.3197264157854,35.046258540529905,4.622190081279561,31.08541176234023,1.8785147054387932,260.74264728060336,7.155101911843491,0.6017649111871067,0.0,0.0,60.45536661979579,2.706300135441996,1.9042893316806442,0.6689727550453222
165,7.038271361927446,5.009172686652363,2.3706414975493573,6.456356908056611,0.5436430919433892,0.0,0.2909572269354172,0.16539968112119363,0.5436430919433892,0.45635690805661083,614.2254591264297,103.2647481447946,338.15464637915085,37.30459028010157,4.584220223215165,31.669200637757616,1.9259502391591048,210.83877920595242,6.964744208019212,0.6713629116390765,0.0,0.0,58.927917642658905,2.7564868216443914,2.417300159439403,0.6551604255654194
166,8.025155971022542,3.3060347945995594,2.041905885056965,6.62599762962343,0.0672565416230566,0.006960250279177216,0.8349262397472978,0.03263217024624864,0.07245851885562048,0.79044288032647,658.1585138546544,107.98485769568424,332.3658906690303,39.69469258364038,4.7248227218613055,31.768479413736554,2.02030568460593,174.51881150631417,6.983777740077751,0.5539609668196851,0.0,0.0,62.20223592150584,2.424421606707553,2.55976757221432,0.6677520580578924
167,6.769999222658047,3.1575251953334273,3.8724255800126475,7.557500194335487,0.0,0.399974999002061,1.0,0.0,0.0,0.600025000997939,655.0214388809637,107.49057735497846,333.99974999002063,37.025023057643054,4.578775098165684,31.684949609333145,1.9318561034999293,203.01070315831936,7.563662205003981,0.6048561812341249,0.0,0.0,59.92752441799148,2.2739548427353196,2.670331063634893,0.6706737191190405
168,6.982351228595959,3.985059841557304,3.346002051923143,7.234745216442546,0.0,0.23474521644254567,0.6716467194808988,0.0,0.09360806407655552,1.0,634.1042834593229,107.18015717768483,330.0,38.30799589615371,4.260042098840189,31.343293438961798,1.827137055629813,271.98050579998494,6.647882175336182,0.5164176640259551,0.0,0.0,58.38666380178758,2.253466829257857,2.502057429663963,0.6532091622181978
169,3.887597370047534,2.242950737454128,2.6418201406946094,4.00234128905653,0.0,0.0,0.36881626684272933,0.0,0.3470582489257857,1.0,632.1289760105637,104.79227017989895,326.2147536872706,34.79461146895548,4.618001797275983,30.611767004296855,1.9632354377685537,201.2952788578674,6.605278155999923,0.621470387124025,0.0,0.0,59.5705922575195,2.7732464752730137,2.46853361765285,0.6433315380497096
170,4.121272400802732,3.0308242087103476,1.4837223767442405,3.7577896701052707,0.0,0.0,0.3001032754755953,0.0,0.6998967245244048,1.0,645.7604830475653,109.58820077691324,323.0524064359399,37.92564752549613,4.5147308382917295,30.1473083829173,1.9342067739323312,155.66122710042367,7.586672182515932,0.7449638535835417,0.0,0.0,58.75778967010527,2.8774395897147014,2.179642115269514,0.637604337569975
171,5.934657773601201,2.6723287077764084,1.9122026104842689,5.200129076189435,0.0,0.0,0.6039626428302358,0.0,0.28408756007768116,1.0,648.7136081153184,106.7889324775761,326.9861715691575,38.470476743169115,4.6534577744033925,31.13874415363419,1.9961715096021366,173.8946585657545,6.986917784340903,0.57879856648132,0.0,0.0,60.424028670373595,2.472644335261674,2.345157520020973,0.6570565904471751
172,4.682012223471432,3.7030911301940996,3.055421040746112,4.9984313090900745,0.0,0.32136305835554335,0.4845165739017654,0.0,0.19412036774269123,0.6786369416444566,645.4982556012168,107.54982556012169,330.30182506741505,33.40644793552306,4.6223518529029235,30.580792412318146,1.7604476142976695,283.3982325357846,7.257741713049118,0.6000784345454963,0.0,0.0,59.35570519237899,2.6118923436048975,2.4029398161286544,0.6559546770296071
173,5.79703955545698,3.769949284822214,1.134142910518301,4.998835947489621,0.3675205532673108,0.0,0.39910180398367945,0.0,0.6008981960163206,0.6324794467326892,633.9461082390208,106.39461082390207,332.0121436577745,38.128487877926325,4.606648942900396,31.066489429003962,1.9916555893127474,146.64642723704247,7.484209374641816,0.6919383409423467,0.0,0.0,59.63131539422231,2.9684187492836314,2.3833111786254952,0.6538904540251358
174,5.375721745359842,3.9431670419587075,5.23185772358482,6.643213867958144,0.0,0.6075794689446614,0.39242053105533864,0.0,0.31438901398623575,0.6856109860137642,645.2728500616573,102.53945790044158,336.1817874845857,35.959839709566864,4.542805493006882,31.413619090083145,1.8301071587811806,238.89312478662455,5.93143628958989,0.6236357496917133,0.0,0.0,59.63327780130479,2.5049628097092125,2.3070584690696547,0.6414816623043242
175,4.494348381140709,7.277089039799175,4.819181850333258,3.600904879909738,0.018465012712832504,0.04657285773923822,0.0568039090192024,0.09933434517081424,0.8585297642781201,0.8652383222025698,642.4794905318284,99.61286073859334,338.722523449649,38.10051865418429,4.327841366812223,28.319870496869424,1.9577460827432143,200.58696515708144,5.719500819680452,0.5260017773725878,0.0,0.0,55.62029424137577,3.4402455054165686,2.101347194281917,0.6315618876399555
176,4.364202144178245,7.588423567650757,4.794211783825379,3.854236089378856,0.25316250434561993,0.3005367925166181,0.25316250434561993,0.0,0.7468374956543801,0.446300703137762,642.3588342190121,109.64611844140488,341.2658125217281,35.191411319734115,4.5847703448313,29.20214717006647,2.05,156.3290626086405,6.6010735850332365,0.6281354134068284,0.0,0.0,58.48060970917705,3.449367499130876,2.0902359828700297,0.6333543626434055
177,1.3804835637645703,2.068786636297833,4.776246348901807,3.5458395841274553,0.0,0.28023823837894263,0.0,0.0,0.4508296010965667,1.0,614.4512542025043,102.26729386061963,327.26511458949113,29.288012075530478,4.745032738330262,29.937082621824413,1.7459187648771863,309.3474677681968,6.7285533068521906,0.6878505404980194,0.0,0.0,55.72084504462912,3.060496690690097,2.483318391666722,0.6366586295554072
178,2.576020627537651,2.4190045616438165,5.293515238859547,4.048644462091577,0.0,0.0,0.0,0.22775305778595709,0.2813723306960674,1.0,591.7797553771235,98.12933107562077,328.2337880971489,28.861234711070217,4.526198849574998,30.419004561643817,1.8088421239865156,333.15437599877873,5.361801240061233,0.6098679686329215,0.0,0.0,57.29735699169605,2.5621781324011166,2.490874611517975,0.6299087461151798
179,2.0071216139243635,3.351707800088728,4.715809316897459,3.6927331792909106,0.0,0.0,0.0,0.0,0.6589746207978173,1.0,621.92563769968,100.9698022484691,325.1331847228436,32.981409424919995,4.719939241543309,30.689172372328727,1.9680732732705455,217.62817240027283,6.978704265874542,0.6312608031152361,0.0,0.0,59.37478393769528,3.269893003765091,2.009757665322183,0.6552429386163018
180,1.5370170064495285,3.8449747903037856,3.8352456935839303,2.1079257669631835,0.0,0.0,0.0,0.0,0.8096970798287817,1.0,631.20087137863,104.97583734265572,326.5154661774717,31.927351943511823,4.7611051019348585,30.30309323549433,1.9439433272183955,179.5143455862841,6.060566727816044,0.7448469390698372,0.0,0.0,59.8013539395198,3.210792576696319,2.238486718759014,0.6943603472246259
181,3.924431557438385,3.876009649712208,3.2976384462344903,4.524385478070225,0.0,0.0,0.19840585556074833,0.0,0.8015941444392517,1.0,641.1533610501697,103.08796817444409,323.68615396160277,37.536776145305915,4.721467121779756,30.932402279634644,1.983275142477165,168.22425868741905,7.935491786567538,0.6310431057907376,0.0,0.0,59.56069737654147,2.951108989202252,1.6335008205278256,0.6737020540195614
182,2.8867007113409184,4.502563697763166,3.0911945901429565,3.5989141521145562,0.042983009655654804,0.01270757700506839,0.009276444301332384,0.0,0.9780159786935992,0.9570169903443452,631.8552079733768,105.31713658791296,323.8001659131867,36.89179245988891,4.6395759322397625,30.493318757399862,1.9478901867093232,162.01792459064754,7.978427434344165,0.7547576282481518,0.0,0.0,58.652676824613394,3.2525652951884463,1.7962319126776143,0.6494558128825341
183,1.2763141065939507,2.304902471407193,0.8704576793754535,1.2763141065939507,0.13854907712496903,0.29401457059064584,0.0,0.0,0.7059854294093542,0.861450922875031,598.2394171763742,101.070515061982,326.53348849823635,32.454112316420606,4.459524066944164,29.735584974806684,1.724714954306264,263.56065178640864,7.423599849253218,0.791819885688297,0.0,0.0,54.222672532671616,3.1682170533812446,2.2917843604845527,0.6453272183954586
184,2.1104181177732917,2.8698558408812764,1.9978220157071598,2.210952213764062,0.0,0.0763378256319425,0.0,0.09343148938299167,0.8051260473271042,0.9646699208568315,621.1498496588133,104.16690423833793,322.6398227042513,33.71039973712767,4.508705420167831,29.651151128954666,1.819172423139813,222.25578058252185,7.289973109764425,0.7859316926553948,0.0,0.0,56.820452035123125,3.082331893428334,2.305083949016173,0.6333694196778049
185,3.735360122290342,3.1791477620759,2.495880289897495,2.471884333718201,0.42915724825047835,0.0,0.42915724825047835,0.0,0.4197916836062641,0.5708427517495216,627.1662899300192,101.09895841803132,328.7499525691271,32.145786241252395,4.691040714661289,30.320833265574944,1.9450520790984336,172.42352110538326,7.5515295778923335,0.775674263737336,0.0,0.0,61.63640170425902,3.4188513326720114,2.3656296922684965,0.6346644983981917
186,4.085995774335508,3.5150553888895373,2.768215882428473,3.8884751421200696,0.0,0.37341975323053217,0.0,0.37341975323053217,0.6265802467694679,0.6265802467694679,631.0903323333373,102.15452274504769,325.2149894358388,30.604836167952655,4.4411866588067745,29.845477254952314,1.6819549826654372,305.69691363068625,6.280980424200683,0.6555762428939965,0.0,0.0,58.14163563565901,2.933029929844631,1.6506566122310808,0.6543423897183279
187,2.96901162075583,5.11798711104757,6.7074596659434,6.123411568241359,0.0,0.3235287133007702,0.0,0.0,0.35998532630046454,1.0,629.4300460128321,101.45013309639683,330.4458639345692,33.73794987301398,4.950352137645101,31.352942573398458,1.807353465024422,323.02438069298466,6.421712998702011,0.5341757019800617,0.0,0.0,58.272055387876286,3.306040223934186,1.9963022799429648,0.6636219375303376
188,3.297021908798525,4.93129567756875,6.902995511744898,5.331330518655594,0.0,0.6686694813444058,0.0,0.0,0.3313305186555942,1.0,604.8972467324155,96.89681286227746,331.6866948134441,32.07897915615545,5.070302164256003,30.66266103731119,1.5484978889916958,419.89290474413986,6.493991555966782,0.55,0.0,0.0,55.616335539387684,3.2131313098112173,2.003916795540341,0.6600902975790375
189,5.136298018513031,7.519674615425306,4.532470001294201,6.043755759897138,0.05610339190845934,0.037809332911813535,0.05610339190845934,0.0,0.9060872751797271,0.9438966080915406,669.8589969349707,115.78423807960237,329.0634422913239,43.27144644170035,4.696982540398809,31.49329020217801,1.9946998045662419,149.01800738338676,8.222695826356508,0.8092078809280963,0.0,0.0,61.1522988989585,3.6178003277264312,2.0883587142591797,0.6321378170008844
190,4.259068346448782,6.97477814320548,5.721577793124029,5.835508710350837,0.0,0.0,0.0,0.0,0.7078498393412476,1.0,651.9282832377276,108.28854924844089,331.5000505903711,40.33217415088349,4.807919498780761,32.0,2.05,183.083916816348,7.477474437694367,0.7060016115630386,0.0,0.0,61.56682176310512,3.5040841629481316,2.338019386665918,0.6391928763023149
191,3.923573799744522,6.266556590532559,5.887094767426757,5.593914192518796,0.03543304858781615,0.020554205662161203,0.03543304858781615,0.0,0.735117358870332,0.9645669514121838,638.6668224040318,103.42764882512489,329.4597029458092,37.86354807691996,4.870633484033554,31.95889158867568,2.034584345753379,192.3197751836261,7.629290788164227,0.6259090250981376,0.0,0.0,61.53377059585028,3.4001680629133886,1.8233843484749668,0.6652055702669329
192,3.132143849743282,6.9855660225560605,6.230430447269234,5.0144339774439395,0.0,0.2892853834189059,0.0,0.0,0.710714616581094,1.0,625.356979165143,105.73683132688735,327.89285383418905,35.12158014325488,4.877429189278801,31.421429233162186,1.8330359624358206,258.8428682181882,7.284003530174704,0.6196280639137155,0.0,0.0,58.45528648537952,3.3696280639137153,1.4213292399884927,0.6543685180580138
193,4.679350562379935,5.529570772863029,5.782314238648528,5.573392903405564,0.0,0.22645018745997839,0.0,0.22645018745997839,0.7735498125400215,0.7735498125400215,635.3656056154895,100.23521461356847,328.26528642027205,35.820932949451795,4.751891708256548,30.676356579674156,1.8801623594050159,254.4766762637051,6.936759753051418,0.5617607306784242,0.0,0.0,59.46743524443119,3.218989549167306,1.557361042541439,0.6700249881462725
194,5.51728358524752,5.819109232151633,3.388497339802263,5.573977333749359,0.0,0.0,0.30345671704950394,0.0,0.6965432829504961,1.0,653.2829612091881,103.39930686214512,330.16468050174825,41.67278563479831,4.819424866990113,32.0,2.05,149.1765974912588,8.044814924425744,0.6442490716425466,0.0,0.0,60.938717025399434,2.7960843603406236,2.1481904897093935,0.6646212730114135
